Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.626127990516455,24.626127990516455,24.503609940812392,24.608625411987305,1003200,29,4,4,1,1993
1993-02-01,24.62613193463471,24.783655166625977,24.62613193463471,24.783655166625977,480500,1,0,5,2,1993
1993-02-02,24.76612941911306,24.85364224391558,24.71362172423155,24.836139678955078,201300,2,1,5,2,1993
1993-02-03,24.871147130490016,25.116183062810116,24.853644563895724,25.09868049621582,529400,3,2,5,2,1993
1993-02-04,25.186204167207084,25.256214463710783,24.90616298119227,25.203706741333008,531500,4,3,5,2,1993
1993-02-05,25.186214447021484,25.238722190830426,25.046193796864312,25.186214447021484,492100,5,4,5,2,1993
1993-02-08,25.186214447021484,25.27372735336972,25.151209284482192,25.186214447021484,596100,8,0,6,2,1993
1993-02-09,25.098691842871332,25.098691842871332,24.958671246816262,25.011178970336914,122100,9,1,6,2,1993
1993-02-10,25.0111736761449,25.063681388551082,24.94116339293666,25.046178817749023,379600,10,2,6,2,1993
1993-02-11,25.081194004859977,25.273722360794004,25.081194004859977,25.1687068939209,19500,11,3,6,2,1993
1993-02-12,25.13369273003282,25.13369273003282,24.97616958618164,24.97616958618164,42500,12,4,6,2,1993
1993-02-16,24.906165107216964,24.906165107216964,24.31107753613799,24.34608268737793,374800,16,1,7,2,1993
1993-02-17,24.346085341199696,24.38109049625534,24.241069876032768,24.328582763671875,210900,17,2,7,2,1993
1993-02-18,24.608634413189815,24.608634413189815,23.978541355668597,24.31109046936035,378100,18,3,7,2,1993
1993-02-19,24.311075310453965,24.398588180541992,24.276070162418755,24.398588180541992,34900,19,4,7,2,1993
1993-02-22,24.468606200364764,24.521113938992155,24.398595882194908,24.486108779907227,513600,22,0,8,2,1993
1993-02-23,24.55612176341219,24.573624344854395,24.346090786105744,24.468608856201172,373700,23,1,8,2,1993
1993-02-24,24.486111283975806,24.783655166625977,24.486111283975806,24.783655166625977,26300,24,2,8,2,1993
1993-02-25,24.76612941911306,24.85364224391558,24.71362172423155,24.836139678955078,44500,25,3,8,2,1993
1993-02-26,24.88865926582825,24.88865926582825,24.74863867924131,24.871156692504883,66200,26,4,8,2,1993
1993-03-01,24.95867254705436,24.95867254705436,24.76614421744875,24.801149368286133,66500,1,0,9,3,1993
1993-03-02,24.818655337677214,25.1687068939209,24.783650182052845,25.1687068939209,182400,2,1,9,3,1993
1993-03-03,25.203709483476885,25.29122236362785,25.168704331416503,25.273719787597656,280100,3,2,9,3,1993
1993-03-04,25.30873670285791,25.30873670285791,25.133710861206055,25.133710861206055,89500,4,3,9,3,1993
1993-03-05,25.168711393239114,25.27372687888545,25.046193326651718,25.063695907592773,40000,5,4,9,3,1993
1993-03-08,25.116210042453204,25.6237850189209,25.116210042453204,25.6237850189209,50800,8,0,10,3,1993
1993-03-09,25.571267669865986,25.58877024869546,25.4837547757186,25.53626251220703,169300,9,1,10,3,1993
1993-03-10,25.536256466616358,25.588764190673828,25.431241018501417,25.588764190673828,194400,10,2,10,3,1993
1993-03-11,25.606277405643333,25.67628773347831,25.48375933193212,25.51876449584961,70900,11,3,10,3,1993
1993-03-12,25.30871612961228,25.32621869954977,25.098685290362383,25.256208419799805,643600,12,4,10,3,1993
1993-03-15,25.2387101903455,25.37873077392578,25.2387101903455,25.37873077392578,310800,15,0,11,3,1993
1993-03-16,25.37873077392578,25.44874106571592,25.37873077392578,25.37873077392578,30800,16,1,11,3,1993
1993-03-17,25.343730420887592,25.343730420887592,25.18620723456992,25.22121238708496,21800,17,2,11,3,1993
1993-03-18,25.326223055083176,25.483746211610992,25.326223055083176,25.37873077392578,59300,18,3,11,3,1993
1993-03-19,25.48100628611282,25.48100628611282,25.34032440185547,25.34032440185547,66900,19,4,11,3,1993
1993-03-22,25.09413646769873,25.25240362131421,25.07655122840812,25.199647903442383,183400,22,0,12,3,1993
1993-03-23,25.269990406992708,25.28757564735944,25.217234685892514,25.252405166625977,55200,23,1,12,3,1993
1993-03-24,25.217234685892514,25.35791660882636,25.094138003325394,25.252405166625977,37200,24,2,12,3,1993
1993-03-25,25.269977936530196,25.463415485104886,25.23480747315298,25.410659790039062,110100,25,3,12,3,1993
1993-03-26,25.393102939210173,25.410688190553117,25.252420928466627,25.27000617980957,101500,26,4,12,3,1993
1993-03-29,25.28757163012763,25.49859448100491,25.28757163012763,25.375497817993164,87100,29,0,13,3,1993
1993-03-30,25.410668452855383,25.445838928222656,25.37549797748811,25.445838928222656,56000,30,1,13,3,1993
1993-03-31,25.516188930179077,25.5865299058653,25.42826271057129,25.42826271057129,111600,31,2,13,3,1993
1993-04-01,25.46342105058065,25.46342105058065,25.287568695258962,25.34032440185547,129500,1,3,13,4,1993
1993-04-02,25.12930899119225,25.12930899119225,24.812774658203125,24.812774658203125,59400,2,4,13,4,1993
1993-04-05,25.006215911994364,25.006215911994364,24.865533965935324,24.935874938964844,172200,5,0,14,4,1993
1993-04-06,24.988622863693994,24.988622863693994,24.795185248281864,24.86552619934082,129700,6,1,14,4,1993
1993-04-07,24.90069544592569,24.95345115661621,24.84793973523517,24.95345115661621,28000,7,2,14,4,1993
1993-04-08,25.058984554562674,25.058984554562674,24.812791022096796,24.918302536010742,180800,8,3,14,4,1993
1993-04-12,25.16449467175191,25.287591431152514,25.129324169066024,25.27000617980957,348500,12,0,15,4,1993
1993-04-13,25.25239200062222,25.410659081406063,25.234806769424015,25.32273292541504,146100,13,1,15,4,1993
1993-04-14,25.340334309987796,25.35791955239584,25.26999334035563,25.287578582763672,119600,14,2,15,4,1993
1993-04-15,25.26999334035563,25.340334309987796,25.182067128315424,25.287578582763672,148600,15,3,15,4,1993
1993-04-16,25.305163825171714,25.340334309987796,25.25240809794759,25.287578582763672,47900,16,4,15,4,1993
1993-04-19,25.28757166729293,25.357912617688736,25.164475004100264,25.18206024169922,157000,19,0,16,4,1993
1993-04-20,25.146891878362286,25.182062356513843,24.900698531301398,25.0589656829834,279500,20,1,16,4,1993
1993-04-21,25.111726621563516,25.111726621563516,24.97104467970602,25.041385650634766,67900,21,2,16,4,1993
1993-04-22,24.93587067659685,25.146893559614593,24.7248477935791,24.7248477935791,97700,22,3,16,4,1993
1993-04-23,24.672088981355937,24.74242993354797,24.584162791115897,24.619333267211914,106000,23,4,16,4,1993
1993-04-26,24.636926243166172,24.724852461021868,24.35556234602794,24.4259033203125,62600,26,0,17,4,1993
1993-04-27,24.39072156020379,24.68967056274414,24.39072156020379,24.68967056274414,156800,27,1,17,4,1993
1993-04-28,24.654500442602906,24.70725614968408,24.601744735521727,24.63691520690918,85900,28,2,17,4,1993
1993-04-29,24.68967592284115,24.742431640625,24.54899400875089,24.742431640625,85000,29,3,17,4,1993
1993-04-30,24.830351223752718,24.91827739664136,24.77759552001953,24.77759552001953,88500,30,4,17,4,1993
1993-05-03,24.812778236163183,24.935874938964844,24.707266776618905,24.935874938964844,80500,3,0,18,5,1993
1993-05-04,24.98863322083077,25.11172993620432,24.95346273072404,25.0238037109375,149100,4,1,18,5,1993
1993-05-05,25.02378101656298,25.182048078508917,25.02378101656298,25.0941219329834,109000,5,2,18,5,1993
1993-05-06,25.058969867883352,25.076555109895903,24.988628899833152,25.006214141845703,54700,6,3,18,5,1993
1993-05-07,25.023792104203572,25.023792104203572,24.91828068282253,24.95345115661621,68000,7,4,18,5,1993
1993-05-10,24.988628899833152,25.146896077946103,24.988628899833152,25.006214141845703,113900,10,0,19,5,1993
1993-05-11,25.006209605882148,25.11172103881836,24.935868650591342,25.11172103881836,42600,11,1,19,5,1993
1993-05-12,25.006212381627748,25.094138585501266,25.006212381627748,25.076553344726562,31000,12,2,19,5,1993
1993-05-13,24.971033100374548,24.971033100374548,24.760010285441805,24.77759552001953,129100,13,3,19,5,1993
1993-05-14,24.777602634646676,24.847943593155254,24.742432155392386,24.76001739501953,63500,14,4,19,5,1993
1993-05-17,24.830351395549627,24.847936630249023,24.72483998735324,24.847936630249023,34000,17,0,20,5,1993
1993-05-18,24.865521344517177,24.88310657884852,24.742424704197784,24.830350875854492,105200,18,1,20,5,1993
1993-05-19,24.83035257142257,25.34032440185547,24.67208545163305,25.34032440185547,50200,19,2,20,5,1993
1993-05-20,25.34031886328463,25.410659790039062,25.287563168218803,25.410659790039062,98200,20,3,20,5,1993
1993-05-21,25.428253568084546,25.463424043282448,25.164475004100264,25.18206024169922,221400,21,4,20,5,1993
1993-05-24,25.234822855539548,25.37550479480388,25.234822855539548,25.287578582763672,30500,24,0,21,5,1993
1993-05-25,25.393080108451976,25.393080108451976,25.34032440185547,25.34032440185547,191800,25,1,21,5,1993
1993-05-26,25.410661370563048,25.674439862298996,25.393076137780653,25.6568546295166,102400,26,2,21,5,1993
1993-05-27,25.692032057120677,25.692032057120677,25.533764919191803,25.56893539428711,53800,27,3,21,5,1993
1993-05-28,25.551350354324477,25.551350354324477,25.3227422644372,25.445838928222656,79100,28,4,21,5,1993
1993-06-01,25.53375714123861,25.77995039191171,25.49858667685674,25.69202423095703,28300,1,1,22,6,1993
1993-06-02,25.62168416395181,25.744780793428582,25.516172767257427,25.6568546295166,20300,2,2,22,6,1993
1993-06-03,25.604105869382416,25.604105869382416,25.51617968164415,25.56893539428711,21600,3,3,22,6,1993
1993-06-04,25.49858994941369,25.49858994941369,25.375493308278593,25.48100471496582,32000,4,4,22,6,1993
1993-06-07,25.533763557920164,25.533763557920164,25.393081665039062,25.393081665039062,121400,7,0,23,6,1993
1993-06-08,25.32274162244497,25.32274162244497,25.164474487304688,25.164474487304688,104500,8,1,23,6,1993
1993-06-09,25.252405166625977,25.35791660882636,25.217234685892514,25.252405166625977,43300,9,2,23,6,1993
1993-06-10,25.234835677123684,25.287591431152514,25.182079923094854,25.27000617980957,17900,10,3,23,6,1993
1993-06-11,25.357912580420056,25.410668293139377,25.26998639255452,25.375497817993164,647400,11,4,23,6,1993
1993-06-14,25.410665343984142,25.428250579516313,25.34032440185547,25.34032440185547,64200,14,0,24,6,1993
1993-06-15,25.37550479480388,25.39309003721192,25.287578582763672,25.287578582763672,142400,15,1,24,6,1993
1993-06-16,25.287568695258962,25.34032440185547,25.217227753130285,25.34032440185547,330900,16,2,24,6,1993
1993-06-17,25.39309222272818,25.42826271057129,25.340336490963505,25.42826271057129,37400,17,3,24,6,1993
1993-06-18,25.41366731852628,25.41366731852628,25.21885871887207,25.21885871887207,58500,18,4,24,6,1993
1993-06-21,25.28967870058676,25.28967870058676,25.236549123484686,25.271968841552734,29300,21,0,25,6,1993
1993-06-22,25.307411336765234,25.307411336765234,25.254281711845504,25.289701461791992,137500,22,1,25,6,1993
1993-06-23,25.28969563730193,25.28969563730193,25.059467315673828,25.059467315673828,227600,23,2,25,6,1993
1993-06-24,25.130311738497042,25.395959854125977,25.130311738497042,25.395959854125977,243700,24,3,25,6,1993
1993-06-25,25.378246307373047,25.449085794623215,25.360536435560505,25.378246307373047,44800,25,4,25,6,1993
1993-06-28,25.502201814829192,25.661590576171875,25.466782090086372,25.661590576171875,439900,28,0,26,6,1993
1993-06-29,25.626194734348505,25.626194734348505,25.50222558221275,25.53764533996582,207500,29,1,26,6,1993
1993-06-30,25.573065097718896,25.626194734348505,25.50222558221275,25.53764533996582,437600,30,2,26,6,1993
1993-07-01,25.573050364997027,25.573050364997027,25.43137141560646,25.4667911529541,605700,1,3,26,7,1993
1993-07-02,25.378244816173208,25.395954686945135,25.23656584999778,25.325115203857422,285400,2,4,26,7,1993
1993-07-06,25.28969563730193,25.360535120879806,25.02404757388489,25.059467315673828,246400,6,1,27,7,1993
1993-07-07,25.041751189497344,25.165720254791882,25.041751189497344,25.130300521850586,343700,7,2,27,7,1993
1993-07-08,25.148027134273942,25.466804943018257,25.112607377746794,25.41367530822754,248200,8,3,27,7,1993
1993-07-09,25.4136538025072,25.484493255615234,25.360524212676175,25.484493255615234,378200,9,4,27,7,1993
1993-07-12,25.449081284280282,25.484501021627924,25.41366154693264,25.4667911529541,373700,12,0,28,7,1993
1993-07-13,25.48450879844926,25.555348294761835,25.307410057667816,25.44908905029297,389600,13,1,28,7,1993
1993-07-14,25.466805824459676,25.608484855471968,25.44909594558314,25.53764533996582,617300,14,2,28,7,1993
1993-07-15,25.51992868912253,25.51992868912253,25.378249695706167,25.431379318237305,443800,15,3,28,7,1993
1993-07-16,25.44908784887644,25.466797722118528,25.325118736181846,25.360538482666016,216400,16,4,28,7,1993
1993-07-19,25.360532897906566,25.360532897906566,25.271983551195998,25.342823028564453,188200,19,0,29,7,1993
1993-07-20,25.325125916909673,25.41367530822754,25.20115676906466,25.41367530822754,68500,20,1,29,7,1993
1993-07-21,25.378249979750713,25.395959854125977,25.307410482249665,25.395959854125977,142700,21,2,29,7,1993
1993-07-22,25.36053770043877,25.395957445830444,25.21885871887207,25.21885871887207,632400,22,3,29,7,1993
1993-07-23,25.271983551195998,25.342823028564453,25.254273681853885,25.342823028564453,286200,23,4,29,7,1993
1993-07-26,25.4136538025072,25.537622845446258,25.4136538025072,25.484493255615234,121300,26,0,30,7,1993
1993-07-27,25.502210890301743,25.519920758975566,25.378241809585,25.4667911529541,92800,27,1,30,7,1993
1993-07-28,25.41367530822754,25.466804943018257,25.37825555170039,25.41367530822754,30800,28,2,30,7,1993
1993-07-29,25.466782869271576,25.62617163549094,25.43136314344505,25.55533218383789,331000,29,3,30,7,1993
1993-07-30,25.555354334336123,25.555354334336123,25.37825555170039,25.41367530822754,75300,30,4,30,7,1993
1993-08-02,25.449073529061216,25.573042572000276,25.449073529061216,25.484493255615234,41300,2,0,31,8,1993
1993-08-03,25.53762462404039,25.60846408208211,25.41365557246738,25.50220489501953,81600,3,1,31,8,1993
1993-08-04,25.50220489501953,25.55533448855082,25.43136543697781,25.50220489501953,434000,4,2,31,8,1993
1993-08-05,25.502218672527402,25.502218672527402,25.413669302136682,25.44908905029297,36800,5,3,31,8,1993
1993-08-06,25.519912982169252,25.537622845446258,25.449073529061216,25.484493255615234,402300,6,4,31,8,1993
1993-08-09,25.555348780539088,25.697027775857393,25.502219157294725,25.626188278198242,828200,9,0,32,8,1993
1993-08-10,25.60848617553711,25.626196055326556,25.57306641595822,25.60848617553711,604900,10,1,32,8,1993
1993-08-11,25.590776295747666,25.67932569469489,25.590776295747666,25.60848617553711,542200,11,2,32,8,1993
1993-08-12,25.679324370978115,25.679324370978115,25.44909594558314,25.53764533996582,303700,12,3,32,8,1993
1993-08-13,25.555333959098668,25.590753687385707,25.555333959098668,25.573043823242188,103500,13,4,32,8,1993
1993-08-16,25.59076592285114,25.78557452157181,25.59076592285114,25.71473503112793,241800,16,0,33,8,1993
1993-08-17,25.697024458634502,25.80328369140625,25.697024458634502,25.80328369140625,369300,17,1,33,8,1993
1993-08-18,25.8918395475316,25.99809880696059,25.874129670960098,25.944969177246094,414300,18,2,33,8,1993
1993-08-19,25.962679053817595,25.962679053817595,25.909549424103098,25.944969177246094,28500,19,3,33,8,1993
1993-08-20,25.89181467553278,25.96265411376953,25.874104815973592,25.96265411376953,80700,20,4,33,8,1993
1993-08-23,25.856414372515207,25.927253863946753,25.856414372515207,25.909543991088867,15600,23,0,34,8,1993
1993-08-24,25.909545536054157,26.192903518676758,25.909545536054157,26.192903518676758,273400,24,1,34,8,1993
1993-08-25,26.192899564794594,26.31686866347854,26.157479822313466,26.210609436035156,242300,25,2,34,8,1993
1993-08-26,26.228309631347656,26.36998854900517,26.122050443104516,26.228309631347656,120000,26,3,34,8,1993
1993-08-27,26.157479822313466,26.210609436035156,26.157479822313466,26.210609436035156,25700,27,4,34,8,1993
1993-08-30,26.228314673114433,26.352283749894852,26.228314673114433,26.316864013671875,183500,30,0,35,8,1993
1993-08-31,26.299145999370804,26.3876953125,26.263726274119126,26.3876953125,66500,31,1,35,8,1993
1993-09-01,26.29916148801004,26.405420726345433,26.29916148801004,26.352291107177734,136500,1,2,35,9,1993
1993-09-02,26.37000168808714,26.405421435149712,26.246032573368126,26.263742446899414,472400,2,3,35,9,1993
1993-09-03,26.246011479524267,26.316850916715964,26.21059176092842,26.281431198120117,630500,3,4,35,9,1993
1993-09-07,26.281434399463752,26.31685412237408,26.068916062001783,26.10433578491211,196400,7,1,36,9,1993
1993-09-08,26.104349830996185,26.104349830996185,25.83870176623028,26.01580047607422,269900,8,2,36,9,1993
1993-09-09,25.909542731616806,26.086641451586846,25.909542731616806,26.068931579589844,239200,9,3,36,9,1993
1993-09-10,26.139771155155064,26.316869875718446,26.104351411042387,26.29916000366211,106500,10,4,36,9,1993
1993-09-13,26.38770348611783,26.38770348611783,26.316864013671875,26.316864013671875,66900,13,0,37,9,1993
1993-09-14,26.246029178516284,26.246029178516284,26.122060079832334,26.210609436035156,184500,14,1,37,9,1993
1993-09-15,26.104332605140872,26.29914105741804,26.015783308651248,26.281431198120117,101000,15,2,37,9,1993
1993-09-16,26.24601989508643,26.263729760062873,26.157470570204225,26.175180435180664,54300,16,3,37,9,1993
1993-09-17,26.16005102576533,26.177871224011763,26.088770232779595,26.12441062927246,200900,17,4,37,9,1993
1993-09-20,26.160079898335745,26.21354055207894,25.91059684753418,25.91059684753418,57800,20,0,38,9,1993
1993-09-21,25.94622124565972,25.981861659458705,25.554176693870907,25.82147979736328,318200,21,1,38,9,1993
1993-09-22,25.91058453788992,26.070966422925004,25.874944118993238,26.03532600402832,439700,22,2,38,9,1993
1993-09-23,26.106627050754245,26.195728166968422,26.070986604268573,26.177907943725586,88500,23,3,38,9,1993
1993-09-24,26.142265046415883,26.16008526798808,26.070984160127086,26.106624603271484,53500,24,4,38,9,1993
1993-09-27,26.302628310446316,26.3917293548584,26.302628310446316,26.3917293548584,274600,27,0,39,9,1993
1993-09-28,26.409547201835416,26.409547201835416,26.320446165391978,26.338266372680664,158300,28,1,39,9,1993
1993-09-29,26.338271356648683,26.409552199291845,26.213529882023145,26.249170303344727,221000,29,2,39,9,1993
1993-09-30,26.249179415800132,26.30264006634148,26.142258114717443,26.19571876525879,99300,30,3,39,9,1993
1993-10-01,26.160086898442128,26.356109347953616,26.124446453076402,26.32046890258789,22700,1,4,39,10,1993
1993-10-04,26.356115341186523,26.356115341186523,26.284834434246196,26.356115341186523,1038500,4,0,40,10,1993
1993-10-05,26.409570016002203,26.409570016002203,26.23136778917358,26.32046890258789,436500,5,1,40,10,1993
1993-10-06,26.338281349761054,26.445202654293237,26.302640914916992,26.302640914916992,209200,6,2,40,10,1993
1993-10-07,26.338278868924018,26.338278868924018,26.21353735871937,26.23135757446289,59400,7,3,40,10,1993
1993-10-08,26.30263108314297,26.320451293903904,26.070968343250787,26.266990661621094,54400,8,4,40,10,1993
1993-10-11,26.32046890258789,26.373929570636477,26.32046890258789,26.32046890258789,467100,11,0,41,10,1993
1993-10-12,26.356115341186523,26.373935567921606,26.33829511445144,26.356115341186523,26200,12,1,41,10,1993
1993-10-13,26.373935567921606,26.373935567921606,26.32047488771636,26.356115341186523,139100,13,2,41,10,1993
1993-10-14,26.46301838043376,26.69468116760254,26.391737522843364,26.69468116760254,108100,14,3,41,10,1993
1993-10-15,26.81942763081585,26.890708501595423,26.74814676003627,26.837247848510742,1502500,15,4,41,10,1993
1993-10-18,26.819432800841554,26.819432800841554,26.730331695190916,26.765972137451172,722400,18,0,42,10,1993
1993-10-19,26.73032633975238,26.783786992431885,26.569944381713867,26.569944381713867,880100,19,1,42,10,1993
1993-10-20,26.659040017967964,26.659040017967964,26.55211873447344,26.605579376220703,230400,20,2,42,10,1993
1993-10-21,26.62340503439337,26.62340503439337,26.534303946594196,26.569944381713867,56200,21,3,42,10,1993
1993-10-22,26.60557423126344,26.712495494081644,26.445192337036133,26.445192337036133,390700,22,4,42,10,1993
1993-10-25,26.463022655056367,26.55212374143703,26.39174178595184,26.516483306884766,114500,25,0,43,10,1993
1993-10-26,26.498655319213867,26.51647553126445,26.409554258960963,26.498655319213867,186200,26,1,43,10,1993
1993-10-27,26.463022655056367,26.534303524160897,26.463022655056367,26.516483306884766,118400,27,2,43,10,1993
1993-10-28,26.552112011849044,26.783774734100078,26.552112011849044,26.712493896484375,129600,28,3,43,10,1993
1993-10-29,26.69467368708045,26.7303141058883,26.676853477676524,26.712493896484375,80700,29,4,43,10,1993
1993-11-01,26.67686166972695,26.80160317386061,26.67686166972695,26.783782958984375,36400,1,0,44,11,1993
1993-11-02,26.748151916321042,26.801612579711424,26.605590147280026,26.765972137451172,262100,2,1,44,11,1993
1993-11-03,26.748151209413887,26.748151209413887,26.30264569293464,26.427387237548828,479100,3,2,44,11,1993
1993-11-04,26.42736765829657,26.42736765829657,26.12442413153255,26.142244338989258,130400,4,3,44,11,1993
1993-11-05,26.070968343250787,26.266990661621094,25.964047078685166,26.266990661621094,363200,5,4,44,11,1993
1993-11-08,26.28482069749496,26.373921784605116,26.21353982780684,26.302640914916992,367600,8,0,45,11,1993
